date,yhat,yhat_lower,yhat_upper
2024-08-01,153.76344575141593,133.51231344871908,173.01384392443708
2024-09-01,169.10659542516044,149.79438012033364,189.32775356400379
2024-10-01,183.95480476595193,164.30122277263433,201.9967971606541
2024-11-01,199.2979544422413,179.70852694832232,216.76695723712936
2024-12-01,214.1461638182623,194.4403432312468,233.25769526276915
2025-01-01,229.48931347330284,210.32961898550911,248.8445215922402
2025-02-01,244.8324631657816,225.15130847574358,264.04037717323274
2025-03-01,258.6773765667417,238.36011982237898,276.9929529360722
2025-04-01,274.00567351521335,254.7041050526656,292.9074513282707
2025-05-01,288.8395072238463,270.2288035672828,307.3431535653806
2025-06-01,304.16780205610036,282.82970608082627,322.66033913044697
2025-07-01,319.00163576473335,300.0666673263078,337.5406281282827
2025-07-31,333.8354694733664,314.2056088853522,353.07961298308015
2025-08-31,349.1637643056205,332.0432461131091,369.43539825764714
2025-09-30,363.9975980142534,344.71705414201284,383.9061101662423
2025-10-31,379.32589284650754,359.3777667674845,398.8100918639958
2025-11-30,394.15972655514054,375.3606730352774,412.8266180012677
2025-12-31,409.4880213873946,390.43117632653946,428.90980653598314
2026-01-31,424.81631621964874,404.17264602286406,444.58972593124696
2026-02-28,438.66122768103946,418.63012115615754,457.0003183220678
2026-03-31,453.98952251329354,433.6530024727824,472.5906011952172
2026-04-30,468.8233562219266,449.54519080374155,486.7726791621472
2026-05-31,484.15165105418066,465.61621615833417,504.32378397734556
2026-06-30,498.9854847628137,478.8463849233937,517.5100601426047
2026-07-31,514.3137795950678,496.2416295294607,533.5924954993421
2026-08-31,529.642074427322,508.72594406222487,548.4330641447859
2026-09-30,544.4759081359549,525.4036348228609,562.1184352516144
2026-10-31,559.8042029682089,540.2599916133549,578.3632231807509
2026-11-30,574.6380366768419,555.3092686529311,594.8425072786897
2026-12-31,589.966331509096,571.0241321239287,610.6800262614721
2027-01-31,605.2946263413501,585.6119645487446,625.2545907541227
2027-02-28,619.139537802741,600.5110696208131,638.6706633237865
2027-03-31,634.467832634995,615.3800880887653,654.1671610515046
2027-04-30,649.301666343628,630.4005436833678,667.3892348530045
2027-05-31,664.629961175882,645.8647460728486,684.4571053677641
2027-06-30,679.4637948845151,660.8487140824773,698.1144188641819
