iter	RMSE
0	140.3400194
1	139.4960916
2	138.6037015
3	137.7173386
4	136.8489513
5	135.9879063
6	135.0947847
7	134.2377689
8	133.412478
9	132.558773
10	131.7298951
11	131.0199566
12	130.2377222
13	129.5254116
14	128.9120824
15	128.0804829
16	127.2915333
17	126.5687495
18	125.8432381
19	125.0347062
20	124.3046548
21	123.4758961
22	122.7455523
23	122.0181335
24	121.3394448
25	120.6666186
26	119.9570236
27	119.3612939
28	118.6118389
29	117.9530207
30	117.2087376
31	116.5400605
32	115.826122
33	115.0931274
34	114.4271034
35	113.8171962
36	113.1634493
37	112.5449291
38	111.9576552
39	111.3780826
40	110.7117844
41	110.0606866
42	109.4337228
43	108.7982978
44	108.1837343
45	107.5780188
46	107.068983
47	106.5499968
48	105.9166226
49	105.2942925
50	104.7366743
51	104.16315
52	103.6150405
53	103.0075845
54	102.4233912
55	101.8583803
56	101.4128145
57	100.9102279
58	100.4555594
59	99.88051456
60	99.31937795
61	98.78788697
62	98.35570308
63	97.84821299
64	97.32602444
65	96.79447508
66	96.40051026
67	95.8790871
68	95.39709108
69	94.94123919
70	94.44316346
71	93.97934788
72	93.64106839
73	93.20860184
74	92.73039784
75	92.23955648
76	91.82142394
77	91.3625778
78	91.00168955
79	90.59016902
80	90.22498218
81	89.84595592
82	89.4452214
83	89.05885528
84	88.70043225
85	88.29485799
86	87.9478957
87	87.49978302
88	87.1415776
89	86.73544445
90	86.36259266
91	85.96228527
92	85.54889599
93	85.15619292
94	84.78677166
95	84.39153013
96	84.04411199
97	83.69142218
98	83.30759447
99	82.98927771
100	82.6279614
101	82.27059716
102	81.94256587
103	81.60933051
104	81.25169716
105	80.89842653
106	80.57007655
107	80.27627086
108	79.95092943
109	79.61405581
110	79.30880847
111	79.01593307
112	78.7164944
113	78.41556149
114	78.11894861
115	77.80995888
116	77.50113446
117	77.23332457
118	76.92104478
119	76.62893557
120	76.33721182
121	76.06278304
122	75.77601163
123	75.55157836
124	75.30048146
125	75.05987408
126	74.78864576
127	74.57137932
128	74.2800987
129	74.03417222
130	73.76175114
131	73.47924273
132	73.2419347
133	73.01654746
134	72.76901375
135	72.54042917
136	72.34297035
137	72.09325489
138	71.84395326
139	71.60069014
140	71.36336081
141	71.12518989
142	70.89950971
143	70.68257949
144	70.46283365
145	70.27016161
146	70.04475618
147	69.82151456
148	69.58505111
149	69.36172817
150	69.15196154
151	68.98317805
152	68.78188941
153	68.60173534
154	68.3952187
155	68.20912942
156	68.0294811
157	67.83673044
158	67.64699837
159	67.48687376
160	67.30624147
161	67.13236596
162	66.92882931
163	66.73748268
164	66.57337201
165	66.4414639
166	66.28531797
167	66.11947717
168	65.97614755
169	65.79080084
170	65.62332839
171	65.502558
172	65.35373372
173	65.19505755
174	65.0249752
175	64.85902389
176	64.68895711
177	64.52486905
178	64.37095981
179	64.20367107
180	64.05344966
181	63.8875259
182	63.7452561
183	63.60565175
184	63.48045491
185	63.3312491
186	63.19151657
187	63.05021535
188	62.91139086
189	62.78730045
190	62.66405959
191	62.53257785
192	62.39781907
193	62.2626086
194	62.11482645
195	61.98188494
196	61.88489462
197	61.75322165
198	61.6470435
199	61.51792729
200	61.4188924
201	61.31220701
202	61.17821249
203	61.08184861
204	60.96439617
205	60.84977484
206	60.72733903
207	60.61164553
208	60.4988342
209	60.38475402
210	60.26708246
211	60.15205228
212	60.03492277
213	59.93134494
214	59.84732209
215	59.74370575
216	59.62220521
217	59.53222221
218	59.40512177
219	59.29755656
220	59.22047948
221	59.09399652
222	58.99706521
223	58.90559856
224	58.77225849
225	58.68715275
226	58.61841762
227	58.50897328
228	58.41386006
229	58.29218556
230	58.18933335
231	58.10844645
232	57.98189872
233	57.90472814
234	57.82083678
235	57.73503787
236	57.66499509
237	57.55569652
238	57.43942063
239	57.34029502
240	57.25123498
241	57.16424544
242	57.09832628
243	57.01796341
244	56.93791602
245	56.85776455
246	56.78299869
247	56.67303816
248	56.57530879
249	56.49178336
250	56.43644719
251	56.36685489
252	56.29389297
253	56.22491456
254	56.14507841
255	56.06198073
256	55.96555481
257	55.91439915
258	55.84621357
259	55.75968024
260	55.6946914
261	55.63788796
262	55.57962282
263	55.5239514
264	55.46124665
265	55.39726202
266	55.33267703
267	55.23850048
268	55.20154969
269	55.1321091
270	55.0618418
271	55.01480025
272	54.95423379
273	54.88196981
274	54.82314564
275	54.75959956
276	54.70167433
277	54.63284107
278	54.57239717
279	54.51477228
280	54.4639313
281	54.42211379
282	54.38615535
283	54.34891009
284	54.29615698
285	54.24881222
286	54.19472667
287	54.14563399
288	54.08759829
289	54.04114785
290	53.99973584
291	53.95906679
292	53.89590075
293	53.85948677
294	53.80103891
295	53.75505169
296	53.71804814
297	53.68086949
298	53.62830873
299	53.59125613
300	53.55416035
301	53.52048631
302	53.46961539
303	53.43090265
304	53.39561006
305	53.35614752
306	53.31198723
307	53.28216515
308	53.25027137
309	53.20658349
310	53.16697918
311	53.12365185
312	53.07214267
313	53.03660097
314	52.99711467
315	52.96064932
316	52.91334074
317	52.88825805
318	52.85766345
319	52.82925205
320	52.78507695
321	52.74048123
322	52.6894376
323	52.65644283
324	52.61666265
325	52.60019608
326	52.57520363
327	52.53828782
328	52.51351645
329	52.4689073
330	52.44015806
331	52.41155342
332	52.38161671
333	52.34987074
334	52.30266089
335	52.2784506
336	52.23688267
337	52.20892303
338	52.17130844
339	52.14827855
340	52.11767687
341	52.09263574
342	52.06700558
343	52.02585274
344	51.98898352
345	51.95272536
346	51.93339702
347	51.90008557
348	51.86370106
349	51.84766704
350	51.82824991
351	51.80783906
352	51.78505249
353	51.75625705
354	51.73670017
355	51.70342307
356	51.6812804
357	51.65646119
358	51.64591389
359	51.61603905
360	51.59685981
361	51.57360507
362	51.55466754
363	51.4783896
364	51.44398994
365	51.41596875
366	51.39997845
367	51.37537115
368	51.34326294
369	51.32328401
370	51.29861751
371	51.23483628
372	51.21679308
373	51.19208109
374	51.170176
375	51.16013841
376	51.13592946
377	51.11821475
378	51.09912709
379	51.07268955
380	51.04916304
381	51.03142757
382	51.00810095
383	50.98011515
384	50.95757231
385	50.94112506
386	50.93298565
387	50.89674806
388	50.86723747
389	50.84700782
390	50.79432052
391	50.78198599
392	50.76441379
393	50.74611095
394	50.71351873
395	50.69535494
396	50.64826664
397	50.62722404
398	50.61502657
399	50.60284813
400	50.58958675
401	50.56192582
402	50.53629149
403	50.51598659
404	50.49475983
405	50.47907154
406	50.46278808
407	50.45302089
408	50.44046436
409	50.42570924
410	50.4063838
411	50.38653938
412	50.37067447
413	50.35219399
414	50.34448554
415	50.33044759
416	50.30879408
417	50.29864235
418	50.28324825
419	50.22228478
420	50.20168434
421	50.17788168
422	50.14992753
423	50.13435198
424	50.11444374
425	50.08934684
426	50.08399104
427	50.07798711
428	50.06087403
429	50.04316641
430	49.97323654
431	49.96347907
432	49.90340617
433	49.88755344
434	49.85783071
435	49.82946658
436	49.82183437
437	49.80823011
438	49.80605339
439	49.74431583
440	49.72938088
441	49.71559663
442	49.70254817
443	49.68738827
444	49.67734002
445	49.65150438
446	49.63830585
447	49.58261985
448	49.57256673
449	49.56607895
450	49.56182317
451	49.50898429
452	49.50709574
453	49.49351296
454	49.44367414
455	49.43114088
456	49.4125222
457	49.39812863
458	49.38920717
459	49.37850817
460	49.36296169
461	49.34848497
462	49.34103034
463	49.31516431
464	49.30185053
465	49.28972647
466	49.26949845
467	49.25531095
468	49.24066141
469	49.23795889
470	49.23445475
471	49.22765665
472	49.22380097
473	49.21796209
474	49.19995731
475	49.18791142
476	49.17886637
477	49.17158676
478	49.16573164
479	49.15741893
480	49.15299523
481	49.14108919
482	49.13198941
483	49.11834795
484	49.1029638
485	49.05382104
486	49.04720852
487	49.03320517
488	49.02734823
489	49.01271909
490	49.00495483
491	48.98941225
492	48.97781214
493	48.96362943
494	48.94263306
495	48.93303944
496	48.93163208
497	48.916
498	48.86513416
499	48.85773952
500	48.83596431
501	48.82735572
502	48.81935287
503	48.8155384
504	48.79961384
505	48.77935058
506	48.76647186
507	48.7609032
508	48.7524339
509	48.70954533
510	48.69314556
511	48.68245226
512	48.67727443
513	48.67044682
514	48.6597284
515	48.65395937
516	48.64703051
517	48.63530504
518	48.62407518
519	48.62299696
520	48.61962824
521	48.61550601
522	48.60702341
523	48.60586835
524	48.59876898
525	48.5669377
526	48.5056919
527	48.4985946
528	48.49321626
529	48.48831292
530	48.48223216
531	48.4732871
532	48.46942973
533	48.4584977
534	48.45158145
535	48.44841272
536	48.44328513
537	48.4334779
538	48.4244477
539	48.4195663
540	48.41263646
541	48.40847603
542	48.39807128
543	48.39276148
544	48.39004546
545	48.38643147
546	48.33720263
547	48.29562472
548	48.29399397
549	48.27190385
550	48.26478654
551	48.25885167
552	48.25498079
553	48.20266498
554	48.1986956
555	48.18093498
556	48.17994425
557	48.17538863
558	48.16337209
559	48.15908757
