iter	RMSE
0	140.024816
1	138.9117238
2	137.6524862
3	136.5173128
4	135.3341685
5	134.1134146
6	132.8914457
7	131.6377834
8	130.5127583
9	129.4949303
10	128.3967304
11	127.309866
12	126.3010538
13	125.2876344
14	124.2596961
15	123.2615627
16	122.2770751
17	121.2554799
18	120.3604815
19	119.518281
20	118.5213764
21	117.6150234
22	116.6784506
23	115.7330502
24	114.7574793
25	113.7962487
26	112.9797253
27	112.2331991
28	111.3466656
29	110.4720241
30	109.5641367
31	108.7511364
32	107.9153093
33	107.0945019
34	106.331838
35	105.4952772
36	104.7245261
37	104.0473735
38	103.3204614
39	102.6213596
40	101.8621134
41	101.1771162
42	100.441457
43	99.86134983
44	99.09368738
45	98.56799831
46	97.91126412
47	97.17198844
48	96.57749415
49	95.88069643
50	95.2665789
51	94.6706109
52	94.01446287
53	93.40574921
54	92.78244811
55	92.1081035
56	91.51058183
57	91.07181177
58	90.52587464
59	89.97983904
60	89.43360645
61	88.87924871
62	88.32925298
63	87.73894094
64	87.19440495
65	86.62696038
66	86.10147266
67	85.69179485
68	85.21214682
69	84.6904411
70	84.17361646
71	83.80237919
72	83.31443608
73	82.84972164
74	82.40951717
75	81.93692579
76	81.43617902
77	81.05298627
78	80.57946342
79	80.12396801
80	79.68623147
81	79.24469861
82	78.82830956
83	78.53218733
84	78.12288846
85	77.74628345
86	77.39522382
87	77.00135115
88	76.68521644
89	76.27417227
90	75.89813887
91	75.51875444
92	75.18860799
93	74.87381596
94	74.56760286
95	74.24383472
96	73.89231606
97	73.60511284
98	73.30257826
99	72.9471619
100	72.60202404
101	72.25883805
102	71.98837166
103	71.70649554
104	71.39727387
105	71.08565231
106	70.78220673
107	70.5738417
108	70.27942617
109	69.97450235
110	69.7526309
111	69.44164961
112	69.17776374
113	68.97799462
114	68.76041991
115	68.56437248
116	68.27924844
117	68.00050776
118	67.7289041
119	67.48628721
120	67.24255789
121	66.98799479
122	66.76186361
123	66.5835762
124	66.35726996
125	66.1578503
126	65.94639622
127	65.74945183
128	65.59012336
129	65.35049346
130	65.14002712
131	64.91735096
132	64.71561636
133	64.48179568
134	64.2584908
135	64.0589501
136	63.90129911
137	63.69179511
138	63.55152052
139	63.40876682
140	63.232333
141	63.06396421
142	62.88407401
143	62.75376299
144	62.62524026
145	62.46582419
146	62.26727295
147	62.08056187
148	61.92254727
149	61.73225115
150	61.60057638
151	61.44837769
152	61.29203304
153	61.17923453
154	61.02861103
155	60.90656827
156	60.8225052
157	60.71454092
158	60.55394705
159	60.38955389
160	60.25489975
161	60.10478364
162	59.98784902
163	59.87469002
164	59.76469161
165	59.57394669
166	59.4298002
167	59.26815027
168	59.08790305
169	58.94878612
170	58.8479697
171	58.73365355
172	58.62010598
173	58.48726685
174	58.35512339
175	58.20509529
176	58.08109515
177	57.95982444
178	57.86212477
179	57.71112622
180	57.5941082
181	57.46598238
182	57.34256356
183	57.22392877
184	57.13389946
185	57.03447566
186	56.8962569
187	56.75591944
188	56.65180483
189	56.59977171
190	56.52004704
191	56.41594456
192	56.31902936
193	56.23689702
194	56.14369048
